"","stat"
"AHR",0.035865256409474
"AR",0.940499543935343
"ARID1A",0.487443208315422
"ARID2",-1.43919787166282
"ARNT",0.0245293992864354
"ATF3",0.374104901644898
"ATF7",-0.488936978037091
"BACH1",-0.963372209745891
"BACH2",-1.16044329673813
"BATF",0.295749349676931
"BCL11A",0.619716845601413
"BCL3",0.596360442720938
"BCL6",-1.40900704710302
"BHLHE40",-2.0710413876801
"CEBPA",2.45867758470808
"CEBPB",1.08247897004558
"CEBPG",-0.968097441856075
"CLOCK",-0.141259479590265
"CREB1",-1.34136751633204
"CREB3",-0.257063204223984
"CREB3L1",-0.202150233657231
"CREM",1.19349782821844
"CTCF",-0.200911932956936
"CTCFL",0.402132019164859
"CUX1",0.863594197529933
"E2F1",1.24888289373701
"E2F4",-1.2556516984926
"E2F6",-0.980928591262376
"E2F7",0.398068703915321
"EBF1",-0.249404682003387
"EGR1",0.685886226144218
"EHF",-1.05663075345494
"ELF1",-0.0759293921182584
"ELF3",0.769339662322597
"ESR1",-0.153472431771931
"ESRRA",-1.79923819157123
"ETS1",1.38105016619702
"FOS",-0.143523288896791
"FOXJ2",-1.42116792798612
"FOXK2",1.01412790089702
"FOXO1",-2.46159062980031
"FOXO3",0.433757875408179
"FOXP1",-0.866365165731342
"FOXP2",-0.429075146077499
"GABPA",1.80390184469259
"GATA2",0.600374452020984
"GATA3",1.58744388845295
"GATA6",0.635412530823324
"GFI1B",2.91131931873065
"GRHL2",1.91533905304786
"HBP1",0.451453547244805
"HIF1A",-0.364992955738612
"HMBOX1",-0.698861390134107
"HNF1A",-0.598414553625601
"HNF1B",0.206815382385918
"HNF4A",0.22668110138064
"HNF4G",1.11575482501998
"HOXB13",2.65981083580095
"HSF1",1.31857297664314
"IKZF1",1.88402337857716
"IRF1",-1.22266440882621
"IRF2",-0.0140887224877991
"IRF3",0.679397694429606
"IRF4",0.919629677669587
"JUN",-0.859237277163018
"JUNB",0.551915403585392
"KLF1",-0.162114177941319
"KLF13",0.189636535306979
"KLF5",-0.0399337708789508
"KLF6",-0.46081053794935
"KLF9",-0.357621550847989
"KMT2A",0.0325309519452662
"LYL1",-0.725772979823189
"MAF",-0.419443933561195
"MAFB",0.213174005598687
"MAFF",1.42143951459107
"MAFG",2.09612314495049
"MAFK",1.96029159482403
"MAX",-0.635663117338985
"MAZ",0.611162736151236
"MBD1",0.494550739144418
"MEF2A",3.06317418224615
"MEF2B",-0.295371422364354
"MEF2C",1.57679584381459
"MEIS1",1.42757184741456
"MEIS2",1.00157759858717
"MIER1",-0.120272608922068
"MNT",1.64977338069793
"MTA1",-0.726245709880066
"MTA2",1.12336131358775
"MXI1",0.803877210696802
"MYBL2",0.368539234363213
"MYC",1.13288288026582
"MYCN",0.462572883629936
"MYOD1",1.53768678363828
"NANOG",-0.129948305681399
"NEUROD1",0.550258439391465
"NFATC1",-0.0644969438772833
"NFE2",-0.403349657036652
"NFE2L1",-0.0826565568986127
"NFKB1",-0.411467232020505
"NFYB",-1.03214378208398
"NONO",1.73847153604229
"NR2C2",0.453184523071802
"NR2F1",-1.81783039909656
"NR4A1",-0.27835231325192
"NR5A2",2.09032196130766
"NRF1",-0.800517712099185
"ONECUT1",1.59466547201071
"OTX2",1.70211759516955
"PAX5",0.104625397143924
"PBX2",1.73644501503371
"PBX3",-0.341161766530524
"PDX1",0.791942507787752
"PKNOX1",0.27692424259187
"POU2F2",0.899399471676
"POU5F1",0.938819049656675
"PPARA",-0.0177049099481076
"PRDM1",0.437213244715367
"PRDM14",1.37076038028316
"PROX1",1.26845270354934
"RBPJ",-0.38104377835616
"RELA",0.159032393251255
"RFX1",-1.73076458191243
"RUNX2",1.77566919241486
"SNAI2",-0.869137044520977
"SOX11",0.897784603105059
"SOX2",0.353123316367173
"SP1",-1.54599477155983
"SP2",0.627910038830868
"SP3",-0.63767302946166
"SP4",-0.125532412290904
"SPI1",-0.721480868139301
"SPIB",-0.16274904218067
"SREBF1",0.524383752462116
"SREBF2",-1.00636572670431
"SSRP1",0.674502103594487
"STAT1",-0.0211178275243494
"STAT2",1.46109661588003
"STAT3",1.80587512384274
"TAF1",1.42608640379886
"TBP",-0.0812802515953469
"TCF12",0.766825264150762
"TCF25",0.66598773855628
"TCF4",0.0884434940749267
"TCF7",0.460958375131773
"TEAD1",1.78182126588459
"TEAD2",-1.42638510584644
"TEAD4",0.779866433365389
"TFAP2A",-0.838480371401869
"TFAP4",3.14077145696055
"TFDP1",-0.414426822863949
"TGIF2",0.850889690349948
"THAP1",-0.0691244205656926
"THAP11",0.912981475824614
"TP53",-0.866033075473207
"TP73",1.88553070136872
"USF1",0.76618056093827
"USF2",2.4478440574969
"WT1",2.01521879292324
"YY1",-1.03297695553829
"ZBED1",-0.37924571845101
"ZBTB11",-0.233361481966797
"ZBTB33",-0.248665088741225
"ZBTB7A",-0.697973260481513
"ZEB1",-0.703260518118535
"ZEB2",-0.625285834334471
"ZFX",-0.295288197489278
"ZKSCAN1",0.451457866812743
"ZNF143",0.425547029953259
"ZNF263",-1.9917768937709
"ZNF384",-0.382924928439578
"ZNF639",0.213744396698986
"ZNF740",1.16963638792421
